"Site","Date","TSS","TN-stream","TAN","TON","DIN","TKN","DRP","TP-stream","Chl.a-stream","lat","lon","Turbidity","waterType","Nitrate-N","TN-lake","TP-lake","Chl.a-lake","TP","TN","Chl.a"
"Lake Denny","2022-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6705623529825,171.121787772284,1.4,2,NA,230,24,5.2,24,230,5.2
"Lake Denny","2022-04-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6705623529825,171.121787772284,1.6,2,NA,300,30,3.5,30,300,3.5
"Lake Denny","2022-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6705623529825,171.121787772284,0.8,2,NA,240,20,4.9,20,240,4.9
"Lake Denny","2023-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6705623529825,171.121787772284,0.9,2,NA,430,39,13,39,430,13
"Lake Denny","2023-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6705623529825,171.121787772284,14,2,NA,1250,79,82,79,1250,82
"Lake Denny","2023-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6705623529825,171.121787772284,5.4,2,NA,1370,76,75,76,1370,75
"Lake Denny","2023-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6705623529825,171.121787772284,11.3,2,NA,1230,82,71,82,1230,71
"Lake Emily","2008-01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.1,2,NA,NA,NA,2.8,NA,NA,2.8
"Lake Emily","2008-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.6,2,NA,400,15,1.6,15,400,1.6
"Lake Emily","2008-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.1,2,NA,570,20,2.5,20,570,2.5
"Lake Emily","2008-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.2,2,NA,450,12,2.5,12,450,2.5
"Lake Emily","2009-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.2,2,NA,440,20,5.4,20,440,5.4
"Lake Emily","2009-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.7,2,NA,470,15,3,15,470,3
"Lake Emily","2009-03-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.4,2,NA,440,14,2.1,14,440,2.1
"Lake Emily","2009-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.5,2,NA,540,18,5.1,18,540,5.1
"Lake Emily","2011-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.1,2,NA,370,16,1.3,16,370,1.3
"Lake Emily","2012-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.9,2,NA,380,17,2.3,17,380,2.3
"Lake Emily","2012-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.3,2,NA,440,22,3.1,22,440,3.1
"Lake Emily","2012-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,6.6,2,NA,690,56,10.8,56,690,10.8
"Lake Emily","2012-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1,2,NA,410,15,2.4,15,410,2.4
"Lake Emily","2013-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,6.7,2,NA,620,70,5.9,70,620,5.9
"Lake Emily","2013-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.1,2,NA,310,18,6.9,18,310,6.9
"Lake Emily","2013-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,3.4,2,NA,450,48,20,48,450,20
"Lake Emily","2013-03-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.8,2,NA,380,29,0.6,29,380,0.6
"Lake Emily","2013-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,4.2,2,NA,480,42,1.4,42,480,1.4
"Lake Emily","2013-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,6,2,NA,390,41,17,41,390,17
"Lake Emily","2014-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.7,2,NA,300,17,1.1,17,300,1.1
"Lake Emily","2014-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.2,2,NA,430,21,6,21,430,6
"Lake Emily","2014-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,3.1,2,NA,330,20,9,20,330,9
"Lake Emily","2014-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.3,2,NA,290,10,0.8,10,290,0.8
"Lake Emily","2014-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.9,2,NA,340,11,0.6,11,340,0.6
"Lake Emily","2015-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.3,2,NA,390,20,2.1,20,390,2.1
"Lake Emily","2015-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.4,2,NA,410,24,1,24,410,1
"Lake Emily","2015-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,4.1,2,NA,520,45,21,45,520,21
"Lake Emily","2015-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.9,2,NA,440,16,2,16,440,2
"Lake Emily","2015-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,3.8,2,NA,540,26,19,26,540,19
"Lake Emily","2016-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.5,2,NA,410,17,2,17,410,2
"Lake Emily","2016-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.8,2,NA,490,20,4.3,20,490,4.3
"Lake Emily","2016-03-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.4,2,NA,410,23,1.7,23,410,1.7
"Lake Emily","2016-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.1,2,NA,440,19,1,19,440,1
"Lake Emily","2017-01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.7,2,NA,480,35,3.5,35,480,3.5
"Lake Emily","2017-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1,2,NA,470,16,1.3,16,470,1.3
"Lake Emily","2017-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,3.9,2,NA,490,23,7,23,490,7
"Lake Emily","2017-04-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.5,2,NA,400,11,0.9,11,400,0.9
"Lake Emily","2017-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1,2,NA,510,15,1.4,15,510,1.4
"Lake Emily","2017-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.1,2,NA,390,16,1.8,16,390,1.8
"Lake Emily","2018-01-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.5,2,NA,390,23,5,23,390,5
"Lake Emily","2018-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.1,2,NA,410,28,1.7,28,410,1.7
"Lake Emily","2018-03-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.5,2,NA,390,23,5,23,390,5
"Lake Emily","2018-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.1,2,NA,480,29,6,29,480,6
"Lake Emily","2018-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.1,2,NA,380,13,1,13,380,1
"Lake Emily","2018-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.3,2,NA,410,14,1.6,14,410,1.6
"Lake Emily","2019-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.5,2,NA,430,24,6.2,24,430,6.2
"Lake Emily","2019-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,9.2,2,NA,780,95,50,95,780,50
"Lake Emily","2019-03-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.5,2,NA,550,34,5.5,34,550,5.5
"Lake Emily","2019-12-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.9,2,NA,320,15,1.6,15,320,1.6
"Lake Emily","2020-01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,2.3,2,NA,570,31,10,31,570,10
"Lake Emily","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,3.8,2,NA,670,40,23,40,670,23
"Lake Emily","2020-03-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,9.6,2,NA,800,94,45,94,800,45
"Lake Emily","2020-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.2,2,NA,370,19,5.6,19,370,5.6
"Lake Emily","2020-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.3,2,NA,340,15,3.8,15,340,3.8
"Lake Emily","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.9,2,NA,390,29,3.3,29,390,3.3
"Lake Emily","2021-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.3,2,NA,380,18,3.2,18,380,3.2
"Lake Emily","2021-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.3,2,NA,380,13,2.9,13,380,2.9
"Lake Emily","2021-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,3,2,NA,480,28,11.1,28,480,11.1
"Lake Emily","2021-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,5.8,2,NA,720,42,20,42,720,20
"Lake Emily","2022-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,3.4,2,NA,760,36,14.4,36,760,14.4
"Lake Emily","2022-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.5,2,NA,370,17,7,17,370,7
"Lake Emily","2022-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.8,2,NA,290,15,4.3,15,290,4.3
"Lake Emily","2022-04-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.1,2,NA,320,13,1.9,13,320,1.9
"Lake Emily","2022-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.7,2,NA,310,16,3.1,16,310,3.1
"Lake Emily","2023-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.9,2,NA,370,16,4.2,16,370,4.2
"Lake Emily","2023-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.6,2,NA,350,15,2.2,15,350,2.2
"Lake Emily","2023-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,0.9,2,NA,350,16,2.7,16,350,2.7
"Lake Emily","2023-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5508689228129,171.226316571952,1.9,2,NA,360,18,6.2,18,360,6.2
"Lake Emma","2004-12-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.2,2,NA,300,8,0.6,8,300,0.6
"Lake Emma","2005-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.5,2,NA,320,13,3.5,13,320,3.5
"Lake Emma","2005-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.8,2,NA,610,26,5.4,26,610,5.4
"Lake Emma","2005-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.1,2,NA,330,12,7.2,12,330,7.2
"Lake Emma","2005-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.9,2,NA,230,7,10,7,230,10
"Lake Emma","2006-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.6,2,NA,340,12,2.5,12,340,2.5
"Lake Emma","2006-02-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.3,2,NA,320,8,5.6,8,320,5.6
"Lake Emma","2006-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.6,2,NA,380,12,6.6,12,380,6.6
"Lake Emma","2006-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.6,2,NA,590,24,4.8,24,590,4.8
"Lake Emma","2007-01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.4,2,NA,550,32,8.5,32,550,8.5
"Lake Emma","2007-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,4.6,2,NA,680,18,15.1,18,680,15.1
"Lake Emma","2007-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,0.3,2,NA,560,26,7.7,26,560,7.7
"Lake Emma","2007-04-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,4.1,2,NA,590,38,7,38,590,7
"Lake Emma","2008-01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,6.9,2,NA,NA,NA,30.5,NA,NA,30.5
"Lake Emma","2008-02-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,8.6,2,NA,1400,110,41.6,110,1400,41.6
"Lake Emma","2008-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,18,2,NA,2000,160,52,160,2000,52
"Lake Emma","2008-04-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,14,2,NA,1300,110,27.7,110,1300,27.7
"Lake Emma","2009-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,19,2,NA,1500,120,13.5,120,1500,13.5
"Lake Emma","2009-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,14,2,NA,1400,92,37,92,1400,37
"Lake Emma","2009-03-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,7.6,2,NA,1200,68,31.1,68,1200,31.1
"Lake Emma","2009-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.5,2,NA,910,48,12.8,48,910,12.8
"Lake Emma","2009-12-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.5,2,NA,580,25,4.6,25,580,4.6
"Lake Emma","2010-01-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.6,2,NA,630,14,1.4,14,630,1.4
"Lake Emma","2010-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.4,2,NA,850,23,3.2,23,850,3.2
"Lake Emma","2010-03-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.1,2,NA,720,25,5.3,25,720,5.3
"Lake Emma","2010-05-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.6,2,NA,890,32,4.2,32,890,4.2
"Lake Emma","2010-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,0.5,2,NA,500,16,4.1,16,500,4.1
"Lake Emma","2011-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.3,2,NA,540,24,3.9,24,540,3.9
"Lake Emma","2011-03-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.9,2,NA,710,47,8.7,47,710,8.7
"Lake Emma","2011-04-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,NA,2,NA,1000,54,20,54,1000,20
"Lake Emma","2011-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,0.8,2,NA,510,23,0.7,23,510,0.7
"Lake Emma","2012-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,0.4,2,NA,450,18,0.8,18,450,0.8
"Lake Emma","2012-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.1,2,NA,510,23,1.3,23,510,1.3
"Lake Emma","2012-03-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.1,2,NA,460,15,0.9,15,460,0.9
"Lake Emma","2012-05-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,0.4,2,NA,430,12,0.4,12,430,0.4
"Lake Emma","2013-01-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.3,2,NA,430,25,1.7,25,430,1.7
"Lake Emma","2013-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.1,2,NA,390,22,1.4,22,390,1.4
"Lake Emma","2013-02-28",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.4,2,NA,530,19,1.4,19,530,1.4
"Lake Emma","2013-03-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1,2,NA,360,21,1.1,21,360,1.1
"Lake Emma","2013-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.4,2,NA,760,20,2,20,760,2
"Lake Emma","2013-12-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.8,2,NA,320,13,4.3,13,320,4.3
"Lake Emma","2014-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.2,2,NA,520,22,3.4,22,520,3.4
"Lake Emma","2014-02-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.7,2,NA,450,20,1.1,20,450,1.1
"Lake Emma","2014-03-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.4,2,NA,370,39,0.4,39,370,0.4
"Lake Emma","2014-04-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1,2,NA,340,10,0.6,10,340,0.6
"Lake Emma","2014-12-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,0.9,2,NA,350,13,0.2,13,350,0.2
"Lake Emma","2015-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.1,2,NA,370,13,1.1,13,370,1.1
"Lake Emma","2015-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.1,2,NA,400,13,0.5,13,400,0.5
"Lake Emma","2015-03-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.7,2,NA,460,18,0.8,18,460,0.8
"Lake Emma","2015-05-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.7,2,NA,450,17,3.8,17,450,3.8
"Lake Emma","2015-12-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.4,2,NA,520,18,4.4,18,520,4.4
"Lake Emma","2016-01-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.1,2,NA,560,24,2,24,560,2
"Lake Emma","2016-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.9,2,NA,620,29,4.3,29,620,4.3
"Lake Emma","2016-03-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,4,2,NA,670,30,16,30,670,16
"Lake Emma","2016-04-26",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.7,2,NA,650,32,10.8,32,650,10.8
"Lake Emma","2017-01-30",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,10.7,2,NA,880,31,18,31,880,18
"Lake Emma","2017-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,9.5,2,NA,980,26,15,26,980,15
"Lake Emma","2017-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,4.2,2,NA,1030,15,10,15,1030,10
"Lake Emma","2017-04-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,4,2,NA,790,37,13,37,790,13
"Lake Emma","2017-05-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.7,2,NA,760,31,13,31,760,13
"Lake Emma","2017-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.7,2,NA,530,18,10,18,530,10
"Lake Emma","2018-01-29",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.2,2,NA,510,15,7,15,510,7
"Lake Emma","2018-02-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.9,2,NA,530,21,7.2,21,530,7.2
"Lake Emma","2018-03-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.3,2,NA,470,19,4.9,19,470,4.9
"Lake Emma","2018-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.5,2,NA,540,22,5.2,22,540,5.2
"Lake Emma","2018-12-21",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2,2,NA,760,22,5.3,22,760,5.3
"Lake Emma","2019-01-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,11.7,2,NA,850,64,29,64,850,29
"Lake Emma","2019-02-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.2,2,NA,650,40,18,40,650,18
"Lake Emma","2019-03-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,4.4,2,NA,730,46,21,46,730,21
"Lake Emma","2019-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.1,2,NA,520,28,24,28,520,24
"Lake Emma","2019-12-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.8,2,NA,390,22,6.3,22,390,6.3
"Lake Emma","2020-01-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.5,2,NA,450,22,10,22,450,10
"Lake Emma","2020-02-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.1,2,NA,600,43,7.6,43,600,7.6
"Lake Emma","2020-03-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.8,2,NA,800,13,5.7,13,800,5.7
"Lake Emma","2020-05-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,0.1,2,NA,400,10,3.9,10,400,3.9
"Lake Emma","2020-12-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.4,2,NA,480,25,15,25,480,15
"Lake Emma","2021-01-22",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,4.9,2,NA,590,23,18,23,590,18
"Lake Emma","2021-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,6.8,2,NA,860,48,39,48,860,39
"Lake Emma","2021-03-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,10.1,2,NA,910,77,48,77,910,48
"Lake Emma","2021-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3,2,NA,590,36,18,36,590,18
"Lake Emma","2021-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.4,2,NA,880,46,22,46,880,22
"Lake Emma","2022-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,7.4,2,NA,980,64,30,64,980,30
"Lake Emma","2022-02-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,5.8,2,NA,560,38,14,38,560,14
"Lake Emma","2022-03-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,6,2,NA,530,33,21,33,530,21
"Lake Emma","2022-04-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,2.1,2,NA,420,23,11,23,420,11
"Lake Emma","2022-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.7,2,NA,540,31,30,31,540,30
"Lake Emma","2023-01-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.6,2,NA,470,26,12,26,470,12
"Lake Emma","2023-02-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.2,2,NA,520,32,23,32,520,23
"Lake Emma","2023-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,3.4,2,NA,570,32,29,32,570,29
"Lake Emma","2023-04-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.6353979125041,171.107325681865,1.9,2,NA,560,17,11,17,560,11
"Lake Heron","2004-12-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.4843152666973,171.168909144017,0.7,2,NA,93,3,0.3,3,93,0.3
"Lake Heron","2005-01-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.4843152666973,171.168909144017,0.4,2,NA,110,3,0.7,3,110,0.7
"Lake Heron","2005-02-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.4843152666973,171.168909144017,1,2,NA,160,13,0.5,13,160,0.5
"Lake Heron","2005-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.4843152666973,171.168909144017,0.3,2,NA,81,6,1,6,81,1
"Lake Heron","2005-04-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.4843152666973,171.168909144017,0.5,2,NA,89,3,0.8,3,89,0.8
